fancyname,company,purchases,ads,sharesinfo,shareslocation,unrestrictedinternet,usersinteract,game,age_rating,Parentalguidance,Downloads,categorygame,low_price_item,top_price_item,price,paidapp,rating,numberreviews,cleaned_numberReviews
DUAL!,seabaa,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,action,2.99,2.99,free,0.0,3.9,"124,809",124809
Shadowverse CCG,"cygames, inc.",1.0,1.0,0.0,0.0,0.0,1.0,1,12+,0.0,1000000.0,card,1.09,89.99,free,0.0,4.2,"59,743",59743
BLEACH Brave Souls,klab global pte. ltd.,1.0,0.0,1.0,0.0,0.0,1.0,1,12+,0.0,5000000.0,action,1.09,89.99,free,0.0,4.5,"210,973",210973
Ball Blast,voodoo,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,arcade,0.99,26.99,free,0.0,4.3,"219,171",219171
Rise of Kingdoms: Lost Crusade,lilith  games,1.0,0.0,0.0,0.0,0.0,1.0,1,everyone,0.0,10000000.0,strategy,0.99,139.99,free,0.0,4.4,"694,976",694976
Dunk A Lot,pixel box games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,sports,1.09,1.09,free,0.0,4.5,"51,871",51871
DRAGON BALL Z DOKKAN BATTLE,bandai namco entertainment inc.,1.0,1.0,0.0,0.0,0.0,1.0,1,12+,0.0,10000000.0,action,,,no info available,0.0,4.5,"796,746",796746
Ingress Prime,"niantic, inc.",1.0,0.0,0.0,1.0,0.0,1.0,1,everyone,0.0,10000000.0,adventure,0.99,109.99,free,0.0,3.1,"409,562",409562
Draconius GO: Catch a Dragon!,elyland,1.0,0.0,0.0,0.0,0.0,1.0,1,everyone,0.0,1000000.0,adventure,1.09,109.99,free,0.0,3.9,"22,938",22938
Brain On Physics Boxs Puzzles,jdi game studio,1.0,1.0,1.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,puzzle,1.09,32.99,free,0.0,4.5,"33,87",3387
Numbers Game - Numberama,lars fe?en,1.0,0.0,0.0,0.0,0.0,1.0,1,everyone,0.0,1000000.0,casual,,,free,0.0,4.6,"26,904",26904
TENS!,kwalee ltd,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,puzzle,1.09,10.99,free,0.0,4.4,"17,978",17978
Ludo King?,gametion technologies pvt ltd,1.0,1.0,1.0,1.0,0.0,1.0,1,everyone,0.0,100000000.0,board,0.79,349.99,free,0.0,4.2,"3,214,058",3214058
Candy Crush Friends Saga,king,1.0,0.0,1.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,casual,1.09,229.99,free,0.0,4.6,"1,205,832",1205832
Fairway Solitaire,big fish games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,card,1.09,114.99,free,0.0,4.6,"132,99",13299
Fairway Solitaire Blast,big fish games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,card,0.99,77.49,no info available,0.0,4.7,"551,738",551738
Paradise Island 2: Hotel Game,game insight,1.0,1.0,0.0,0.0,0.0,1.0,1,12+,0.0,5000000.0,casual,0.99,99.99,free,0.0,4.6,"521,376",521376
2048 Tycoon: World Theme Park,"nlabsoft co., ltd.",1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,500000.0,puzzle,0.89,54.99,free,0.0,4.1,"3,535",3535
Picross Luna II - Six Pieces Of Tears,floralmong company,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000.0,puzzle,,,free,0.0,4.6,"11,866",11866
Candy Crush Soda Saga,king,1.0,0.0,1.0,0.0,0.0,0.0,1,everyone,0.0,100000000.0,casual,1.09,169.99,free,0.0,4.6,"6,981,271",6981271
Gameroom,talpa network b.v.,0.0,0.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000.0,trivia,,,free,0.0,3.4,"1,418",1418
Farm Heroes Saga,king,1.0,0.0,1.0,0.0,0.0,1.0,1,everyone,0.0,100000000.0,casual,1.09,269.99,free,0.0,4.6,"8,279,851",8279851
Fun Hospital ? tycoon games,orangesgame technology limited,1.0,1.0,0.0,0.0,0.0,1.0,1,7+,0.0,1000000.0,simulation,1.09,109.99,free,0.0,3.9,"19,037",19037
Jurassic World Alive,ludia inc.,1.0,1.0,0.0,1.0,0.0,1.0,1,12+,0.0,10000000.0,adventure,1.99,114.99,free,0.0,4.3,"409,974",409974
KIM KARDASHIAN: HOLLYWOOD,glu,1.0,1.0,0.0,0.0,0.0,1.0,1,12+,0.0,10000000.0,adventure,1.09,109.99,free,0.0,4.4,"1,060,127",1060127
Food Truck Chef?: Cooking Game,tilting point,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,casual,0.89,104.99,free,0.0,4.2,"236,352",236352
Binaris 1001 - binary puzzles,mjk apps,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000.0,puzzle,0.89,11.99,free,0.0,4.5,"1,581",1581
Sudoku,pink pointer,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,puzzle,1.79,1.79,free,0.0,4.6,"69,654",69654
CodyCross: Crossword Puzzles,"fanatee, inc.",1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,word,2.29,89.99,free,0.0,4.6,"607,92",60792
Wie is de Mol?,avrotros,0.0,0.0,0.0,0.0,0.0,0.0,1,everyone,0.0,500000.0,strategy,,,free,0.0,2.9,"8,726",8726
100 Doors Challenge,protey apps,0.0,1.0,0.0,0.0,0.0,0.0,1,7+,0.0,10000000.0,puzzle,,,free,0.0,4.4,"104,205",104205
Rento - Dice Board Game Online,lan games ltd,1.0,1.0,0.0,0.0,0.0,1.0,1,everyone,0.0,10000000.0,board,0.88,8.06,free,0.0,4.2,"258,44",25844
Sudoku Quest,hashcube,1.0,1.0,0.0,0.0,0.0,1.0,1,everyone,0.0,1000000.0,puzzle,0.59,79.00,free,0.0,4.6,"36,63",3663
Solitaire - Grand Harvest - Tripeaks,supertreat,1.0,0.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,card,1.99,149.90,free,0.0,4.7,"500,42",50042
Bingo Infinity?<U+FE0F> - Free Casino Slots & Bingo Games,"jam city, inc.",1.0,0.0,0.0,0.0,0.0,0.0,1,12+,0.0,500000.0,casino,1.09,104.99,free,0.0,4.5,"4,756",4756
Twenty,stephen french,1.0,0.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,puzzle,2.18,2.18,free,0.0,4.5,"21,453",21453
Balls Control,goleft spol. s r. o.,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,casual,2.99,4.89,free,0.0,4.2,"78,83",7883
Cinema Panic 2: Cooking Restaurant,boomware technologies,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,casual,1.09,48.99,free,0.0,4.3,"58,997",58997
Big Farm: Mobile Harvest ? Free Farming Game,goodgame studios,1.0,1.0,0.0,0.0,0.0,1.0,1,everyone,0.0,10000000.0,casual,0.99,99.99,free,0.0,4.3,"232,872",232872
Subiku : the binary sudoku,pierrox,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,50000.0,puzzle,,,free,0.0,4.7,"2,047",2047
Bingo Quest - Summer Garden Adventure,fgl indie showcase,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,board,2.09,2.09,free,0.0,4.5,"15,529",15529
Twisty Road!,voodoo,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,arcade,1.19,2.99,free,0.0,3.9,"101,495",101495
Number Mazes: Rikudo Puzzles,rikudo games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,puzzle,1.99,6.49,free,0.0,4.6,"30,575",30575
Tents and Trees Puzzles,frozax games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,500000.0,puzzle,0.99,19.99,free,0.0,4.6,"36,841",36841
Tap +1,foggy.link,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000.0,puzzle,,,free,0.0,4.6,"1,154",1154
Binary Fun? Decimal Game,petraapps,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000.0,educational,,,free,0.0,4.6,"4,387",4387
World Series of Poker ? WSOP Free Texas Holdem,playtika,1.0,1.0,0.0,0.0,0.0,1.0,1,everyone,0.0,10000000.0,card,0.73,299.99,free,0.0,4.4,"1,169,049",1169049
Brain It On! - Physics Puzzles,orbital nine games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,puzzle,0.76,3.29,free,0.0,4.5,"460,665",460665
Trade Island,game insight,1.0,1.0,0.0,0.0,0.0,0.0,1,12+,0.0,1000000.0,simulation,0.99,99.99,free,0.0,4.5,"79,318",79318
Paper.io,voodoo,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,arcade,0.99,20.99,free,0.0,3.9,"401,217",401217
Open Puzzle Box,nfly studio,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,puzzle,1.82,45.34,free,0.0,4.1,"76,556",76556
De Slimste Mens,kro-ncrv,0.0,0.0,0.0,0.0,0.0,1.0,1,12+,0.0,500000.0,casual,,,no info available,0.0,3.7,"15,483",15483
2048 Classic Legend,bp game studio,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000.0,puzzle,,,free,0.0,4.6,"3,291",3291
Bingo Blitz?<U+FE0F> - Bingo Games,playtika santa monica,1.0,0.0,0.0,0.0,0.0,1.0,1,12+,0.0,10000000.0,board,0.73,349.99,free,0.0,4.6,"576,04",57604
Puzzle Page,appynation ltd.,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,puzzle,3.49,48.99,free,0.0,4.1,"34,063",34063
My Story: Choose Your Own Path,nanobit,1.0,1.0,0.0,0.0,0.0,0.0,1,12+,0.0,5000000.0,simulation,1.99,154.99,free,0.0,4.2,"746,025",746025
Picross Luna - A forgotten tale,floralmong company,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,puzzle,,,free,0.0,4.6,"59,251",59251
Smart - Brain Games & Logic Puzzles,healthy body apps,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,puzzle,0.99,28.99,free,0.0,4.5,"166,786",166786
Logo Quiz World,msi apps,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,trivia,1.89,38.99,free,0.0,4.1,"32,007",32007
I Love Hue,zut!,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,puzzle,2.09,11.99,free,0.0,4.7,"200,138",200138
Two Eyes - Nonogram,gamefox,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,puzzle,2.99,2.99,free,0.0,4.7,"48,186",48186
red,bart bonte,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,puzzle,1.99,1.99,free,0.0,4.7,"25,667",25667
Einstein's Riddle Logic Puzzles,rottz games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,board,6.99,6.99,free,0.0,4.6,"96,326",96326
Bouncing Balls,fun games free,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,500000.0,puzzle,,,free,0.0,4.3,"1,681",1681
Chess Free,ai factory limited,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,50000000.0,board,,,free,0.0,4.6,"1,470,107",1470107
Age of 2048?: Civilization City Building Games,"nlabsoft co., ltd.",1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,puzzle,0.89,8.99,free,0.0,3.9,"48,114",48114
Plague Inc.,miniclip.com,1.0,1.0,0.0,0.0,0.0,0.0,1,7+,0.0,50000000.0,simulation,0.82,14.99,free,0.0,4.5,"2,966,006",2966006
2048,uberspot,0.0,0.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,puzzle,,,free,0.0,4.1,"54,943",54943
Hill Climb Racing,fingersoft,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,500000000.0,racing,2.49,102.00,free,0.0,4.5,"9,420,130",9420130
Dumb Ways to Die Original,metro trains,1.0,1.0,0.0,0.0,0.0,0.0,1,7+,0.0,10000000.0,casual,2.49,32.99,free,0.0,4.2,"456,06",45606
Assassin's Creed Rebellion: Adventure RPG,ubisoft entertainment,1.0,0.0,0.0,0.0,0.0,0.0,1,7+,0.0,5000000.0,role playing,1.09,109.99,free,0.0,4.4,"299,794",299794
Gumballs & Dungeons(G&D),qcplay limited.,1.0,0.0,0.0,1.0,0.0,0.0,1,everyone,0.0,1000000.0,strategy,1.19,119.99,free,0.0,4.6,"87,69",8769
Chess Clock,chess.com,0.0,0.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,puzzle,,,free,0.0,4.5,"10,472",10472
Plants vs Zombies? 2 Free,electronic arts,1.0,1.0,0.0,0.0,0.0,0.0,1,7+,0.0,100000000.0,casual,0.49,109.99,free,0.0,4.5,"6,226,823",6226823
Worchy Picture Word Search,abichus o?,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,50000.0,word,0.99,19.99,free,0.0,4.5,"1,502",1502
Boggle With Friends: Word Game,zynga,1.0,1.0,0.0,0.0,0.0,1.0,1,everyone,0.0,1000000.0,word,1.09,114.99,free,0.0,4.3,"14,118",14118
Words With Friends 2 ? Free Word Games & Puzzles,zynga,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,word,0.99,164.99,free,0.0,4.2,"269,09",26909
Camping Paradis : Le Jeu,jla games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,500000.0,casual,2.29,99.99,free,0.0,4.1,"28,645",28645
Masha and Bear: Cooking Dash,hippo kids games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,role playing,1.99,1.99,free,0.0,4.2,"163,221",163221
Arrowword PuzzleLife,keesing media group,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000.0,puzzle,1.09,7.99,free,0.0,4.3,"4,688",4688
Finish The Lyrics - Free Music Quiz App,world of quiz,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,music,1.09,1.69,free,0.0,3.9,"16,568",16568
Strawberry Shortcake Bake Shop,budge studios,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,casual,3.49,7.05,free,0.0,4.0,"311,962",311962
Bid Wars - Storage Auctions and Pawn Shop Tycoon,tapps games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,strategy,1.09,46.99,free,0.0,4.4,"2,736,391",2736391
Traffic Rider,soner kara,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000000.0,racing,2.29,109.99,free,0.0,4.6,"6,773,140",6773140
Football Strike - Multiplayer Soccer,miniclip.com,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,50000000.0,sports,0.99,99.99,free,0.0,4.4,"1,242,797",1242797
Candy Crush Jelly Saga,king,1.0,0.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000000.0,puzzle,0.99,129.99,free,0.0,4.6,"1,434,476",1434476
Stickman Turbo Dismounting,jdi game studio,1.0,1.0,1.0,0.0,0.0,0.0,1,7+,0.0,1000000.0,simulation,0.59,339.99,free,0.0,4.6,"63,337",63337
Pet Rescue Saga,king,1.0,0.0,1.0,0.0,0.0,1.0,1,everyone,0.0,100000000.0,casual,0.89,114.99,free,0.0,4.7,"3,330,520",3330520
Talking Tom Gold Run,outfit7 limited,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000000.0,action,0.99,99.99,free,0.0,4.4,"3,595,695",3595695
"MMX Hill Dash 2 ? Offroad Truck, Car & Bike Racing",hutch games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,racing,0.99,99.99,free,0.0,4.2,"92,117",92117
Rise Wars (strategy & risk),allsoftware (an?bal le?n),0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,strategy,,,free,0.0,3.9,"30,233",30233
Bubble Witch 3 Saga,king,1.0,1.0,1.0,0.0,0.0,0.0,1,everyone,0.0,50000000.0,puzzle,1.09,109.99,free,0.0,4.7,"2,183,745",2183745
Skillful Finger,yoypo,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,arcade,0.99,104.99,free,0.0,4.1,"104,098",104098
"Snoopy Pop - Free Match, Blast & Pop Bubble Game","jam city, inc.",1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,puzzle,0.89,114.99,free,0.0,4.6,"137,478",137478
I'm Ping Pong King :),orangenose studio,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,sports,0.99,1.99,free,0.0,4.6,"89,32",8932
Angry Birds Classic,rovio entertainment corporation,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000000.0,arcade,0.99,49.99,no info available,0.0,4.4,"5,671,865",5671865
Inventioneers,filimundus ab,1.0,0.0,0.0,0.0,0.0,1.0,1,everyone,0.0,500000.0,educational,0.95,5.99,free,0.0,3.9,"4,907",4907
True Skate,true axis,1.0,1.0,0.0,0.0,0.0,1.0,1,everyone,0.0,5000000.0,sports,0.79,22.99,2.09,1.0,4.1,"157,9",1579
Follow the Line 2D Deluxe,nenoff - fun time killing mobile games deluxe,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,casual,1.09,54.99,free,0.0,4.1,"198,814",198814
Calculator: The Game,simple machine,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,puzzle,1.09,20.99,free,0.0,4.5,"34,323",34323
Solitaire!,me2zen limited,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,card,1.09,10.99,free,0.0,4.7,"426,741",426741
Angry Birds 2,rovio entertainment corporation,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000000.0,casual,0.99,109.99,free,0.0,4.6,"4,700,070",4700070
Backgammon Free,ai factory limited,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,board,,,free,0.0,4.4,"328,825",328825
Solitaire,me2zen mobile apps inc,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,card,,,free,0.0,4.7,"160,54",16054
Summoners War,com2us,1.0,1.0,0.0,0.0,0.0,1.0,1,12+,0.0,50000000.0,role playing,0.99,109.99,free,0.0,4.3,"2,173,374",2173374
Hearthstone,"blizzard entertainment, inc.",1.0,1.0,0.0,0.0,0.0,1.0,1,7+,0.0,10000000.0,card,1.99,79.99,free,0.0,4.1,"1,617,718",1617718
Grow Empire: Rome,games station,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,strategy,0.99,104.99,free,0.0,4.6,"2,737,996",2737996
Alto's Adventure,noodlecake studios inc,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,action,1.09,10.99,free,0.0,4.6,"551,465",551465
Sudoku,brainium studios,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,puzzle,,,free,0.0,4.8,"401,237",401237
Complete Ear Trainer,binary guilt software,1.0,0.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000.0,music,0.99,3.99,free,0.0,4.7,"3,781",3781
PAC-MAN,bandai namco entertainment america inc.,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000000.0,arcade,0.99,99.99,free,0.0,4.0,"785,772",785772
Word Search Puzzle,word search puzzles,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,puzzle,,,free,0.0,4.5,"185,869",185869
Wordsearch PuzzleLife,keesing media group,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,50000.0,puzzle,1.09,7.99,free,0.0,4.5,"1,483",1483
Teen Love Story Games For Girls <U+0001F491>,webelinx love story games,1.0,1.0,0.0,0.0,0.0,0.0,1,12+,0.0,10000000.0,simulation,1.19,14.99,free,0.0,4.4,"360,64",36064
Pipe Lines : Hexa,bitmango,1.0,1.0,1.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,puzzle,0.99,19.99,free,0.0,4.6,"48,42",4842
Pearl's Peril - Hidden Object Game,wooga,1.0,1.0,1.0,0.0,0.0,0.0,1,7+,0.0,5000000.0,adventure,2.29,109.99,free,0.0,4.5,"261,339",261339
Mahjong Solitaire: Classic,bitmango,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,puzzle,1.99,20.99,free,0.0,4.6,"124,595",124595
Sunken Secrets,big fish games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,simulation,1.09,109.99,free,0.0,4.3,"29,681",29681
Monster Pet Adventure: Bubble Shooter Blast Games,bubble puzzle games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000.0,casual,0.99,49.99,free,0.0,4.4,"1,588",1588
Logo Game: Guess Brand Quiz,logos box,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,trivia,1.89,38.99,free,0.0,4.0,"143,546",143546
Happy Color? ? Color by Number,x-flow,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,board,2.29,4.19,free,0.0,4.6,"1,346,329",1346329
Cooking Country - Design Cafe,flowmotion entertainment - cooking and girl games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,casual,1.19,249.99,free,0.0,4.5,"160,766",160766
World Chef,social point,1.0,1.0,0.0,0.0,0.0,1.0,1,everyone,0.0,10000000.0,casual,1.09,129.99,free,0.0,4.5,"695,709",695709
Car Driving School Simulator,boombit games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,racing,1.99,25.99,free,0.0,4.4,"192,439",192439
Block Museum (Jigsaw Puzzle),duripuzzle,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000.0,puzzle,,,free,0.0,4.6,"1,542",1542
Puzzle - Wild animals,appilo-mob,0.0,1.0,0.0,0.0,0.0,0.0,1,7+,0.0,500000.0,puzzle,,,free,0.0,4.5,"4,056",4056
Colormania Game 2019: Guess the Color & Logo Quiz,genera games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,trivia,1.79,54.99,free,0.0,4.7,"162,627",162627
City Driving 3D,zuuks games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,racing,0.80,10.99,free,0.0,3.7,"263,596",263596
Restaurant Story 2,storm8 studios,1.0,1.0,0.0,0.0,0.0,1.0,1,everyone,0.0,1000000.0,casual,0.99,99.99,free,0.0,4.1,"47,931",47931
90 numbers,nadya khokhlova,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,board,,,free,0.0,3.9,"4,624",4624
Real Piano,bilkon,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,music,,,free,0.0,3.7,"39,369",39369
Magic Cube Puzzle 3D,maximko online,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,puzzle,1.09,1.09,free,0.0,4.3,"152,339",152339
June's Journey - Hidden Objects,wooga,1.0,1.0,0.0,0.0,0.0,0.0,1,7+,0.0,10000000.0,adventure,0.99,99.99,free,0.0,4.6,"385,11",38511
Street Food - Cooking Game for Kids,crazyplex llc,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,educational,,,free,0.0,3.7,"16,37",1637
Solitaire Discovery,solitaire fun,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000.0,card,0.99,49.99,free,0.0,4.8,"10,658",10658
Block Puzzle Classic 2018,puzzle games  free,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,puzzle,,,free,0.0,4.5,"23,163",23163
Hidden Object Enchanted Castle ? Hidden Games,midva.games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,puzzle,2.39,23.99,free,0.0,4.2,"99,519",99519
Bud Farm: Grass Roots,ldrly,1.0,1.0,0.0,0.0,0.0,0.0,1,16+,0.0,10000000.0,simulation,0.89,99.99,free,0.0,4.7,"558,72",55872
Risky Road,ketchapp,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,arcade,2.00,2.00,free,0.0,4.2,"25,661",25661
Weed Firm 2: Back to College,koolbros,1.0,1.0,0.0,0.0,0.0,0.0,1,18+,0.0,5000000.0,simulation,0.99,49.99,free,0.0,4.7,"238,915",238915
Don't Touch The Spikes,ketchapp,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,arcade,0.79,5.49,free,0.0,4.5,"529,224",529224
Twist,ketchapp,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,arcade,2.00,2.00,free,0.0,4.2,"320,923",320923
Mahjong Epic,kristanix games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,board,2.99,2.99,free,0.0,4.7,"369,492",369492
Simon?s Cat Crunch Time - Puzzle Adventure!,tactile games limited,1.0,1.0,0.0,0.0,0.0,0.0,1,12+,0.0,1000000.0,puzzle,1.09,109.99,free,0.0,4.8,"203,31",20331
Spider Solitaire,brainium studios,0.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,card,,,free,0.0,4.7,"95,408",95408
Bejeweled Blitz!,electronic arts,1.0,1.0,0.0,0.0,0.0,1.0,1,everyone,0.0,5000000.0,puzzle,0.50,109.99,free,0.0,4.2,"120,14",12014
Chicken Scream,perfect tap games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,action,1.99,1.99,free,0.0,4.0,"55,439",55439
Pok?mon Quest,the pokemon company,1.0,0.0,0.0,0.0,0.0,0.0,1,everyone,0.0,5000000.0,role playing,3.49,32.99,free,0.0,4.2,"89,869",89869
Eternium,"making fun, inc.",1.0,1.0,0.0,0.0,0.0,0.0,1,12+,0.0,10000000.0,role playing,0.99,109.99,free,0.0,4.8,"1,947,603",1947603
Taps to Riches,game circus llc,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,simulation,1.09,104.99,free,0.0,4.5,"278,385",278385
Snake.io - Fun Addicting Online Arcade .io Games,kooapps games - fun word and brain puzzle games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,10000000.0,action,1.09,109.99,free,0.0,4.3,"193,664",193664
DomiNations,nexon m inc.,1.0,1.0,0.0,0.0,0.0,1.0,1,7+,0.0,10000000.0,strategy,1.09,214.99,free,0.0,4.3,"724,652",724652
Achipato,yiotro,0.0,0.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000.0,strategy,,,free,0.0,4.2,"2,691",2691
Need for Speed? No Limits,electronic arts,1.0,0.0,0.0,0.0,0.0,0.0,1,7+,0.0,50000000.0,racing,1.09,109.99,free,0.0,4.2,"3,871,124",3871124
The Simpsons?:  Tapped Out,electronic arts,1.0,0.0,0.0,0.0,0.0,0.0,1,12+,0.0,100000000.0,casual,1.09,109.99,free,0.0,4.3,"3,961,333",3961333
Reactor - Idle Tycoon. Energy Business Manager.,rsgapps - idle tycoon games,1.0,1.0,0.0,0.0,0.0,0.0,1,everyone,0.0,1000000.0,strategy,0.99,5.99,free,0.0,4.5,"278,865",278865
Microcosmum: survival of cells,alexander byzov,1.0,0.0,0.0,0.0,0.0,0.0,1,everyone,0.0,100000.0,strategy,,,free,0.0,4.2,"9,522",9522
