purchases,ads,sharesinfo,shareslocation,usersinteract,age_rating,Parentalguidance,paidapp,Category2,Editors Choice,CompanyIsExperienced,Install per Avg,Rating3
1,1,0,0,0,everyone,0,0,Arcade,0,0, 0.17 ,4.6
1,1,0,0,0,everyone,0,0,Card,0,1, 4.69 ,4.5
1,1,0,0,0,12+,0,0,Arcade,0,1, 0.53 ,3.7
1,1,0,0,0,everyone,0,0,Puzzle,0,1, 0.23 ,3.9
1,1,0,0,0,everyone,0,0,Simulation,0,1, 0.97 ,4.6
1,0,1,0,1,7+,0,0,Strategy,0,1, 2.03 ,4.3
1,1,0,0,1,everyone,0,0,Casual,1,1, 25.22 ,4.3
1,1,0,0,0,everyone,0,0,Action,0,1, 28.97 ,4.1
1,0,1,0,0,everyone,0,0,Puzzle,0,1, 4.19 ,4.6
1,1,0,0,0,everyone,0,0,Arcade,0,1, 0.58 ,4.1
1,1,0,0,0,everyone,0,0,Arcade,0,1, 15.25 ,4
1,1,0,0,0,everyone,0,0,Sports,1,0, 2.83 ,4.3
1,1,0,0,1,7+,0,0,Simulation,1,1, 5.12 ,4.4
1,1,0,0,0,everyone,0,0,Arcade,0,1, 2.77 ,4.1
1,0,0,0,0,everyone,0,1,Simulation,0,0, 0.02 ,3.7
1,0,1,0,1,12+,0,0,Strategy,0,1, 4.04 ,4.4
1,1,0,0,0,everyone,0,0,Casual,0,1, 0.53 ,4.4
0,0,0,0,0,everyone,0,0,Board,0,0, 0.04 ,3.8
0,1,0,0,0,everyone,0,0,Casual,0,0, 0.65 ,4.4
1,0,0,0,0,7+,0,1,Board,1,1, 0.06 ,4.4
0,0,0,0,0,everyone,0,0,Puzzle,0,0, 0.05 ,4.4
1,1,0,0,0,everyone,0,0,Arcade,0,1, 1.61 ,3.8
1,1,0,0,0,everyone,0,0,Arcade,0,1, 0.61 ,4.5
1,1,0,0,0,everyone,0,0,Puzzle,0,0, 2.40 ,3.9
1,1,0,0,0,7+,0,0,Action,1,1, 22.04 ,4.2
1,1,0,0,0,everyone,0,0,Casual,0,0, 20.15 ,4.3
1,1,0,0,0,7+,0,0,Arcade,1,1, 6.84 ,4.5
1,1,0,0,0,7+,0,0,Arcade,0,0, 10.22 ,4.4
1,1,0,0,1,everyone,0,0,Casual,0,1, 23.89 ,4.4
1,1,0,0,0,7+,0,0,Arcade,0,1, 8.14 ,4.6
1,1,0,0,1,12+,0,0,Simulation,1,1, 5.21 ,4.1
1,1,0,0,0,everyone,0,0,Board,0,0, 11.96 ,4.3
1,1,0,0,0,everyone,0,0,Racing,0,0, 0.42 ,4.1
1,0,0,0,1,everyone,0,0,Sports,1,1, 14.96 ,4
1,0,0,0,0,everyone,0,0,Racing,0,0, 0.05 ,3.9
0,1,0,0,0,everyone,0,0,Educational,0,1, 0.05 ,4.2
1,1,0,0,0,12+,0,0,Arcade,0,1, 6.49 ,3.9
1,0,0,0,0,everyone,0,0,Sports,0,1, 1.75 ,3.9
1,1,0,0,0,everyone,0,0,Puzzle,0,1, 0.91 ,4.5
1,1,1,0,0,everyone,0,0,Puzzle,1,1, 1.96 ,4.4
0,1,0,0,0,everyone,0,0,Puzzle,0,1, 15.72 ,4.3
1,1,0,0,0,everyone,0,0,Word,0,0, 1.74 ,4.6
1,1,0,0,0,everyone,0,0,Word,0,0, 4.77 ,4.4
1,1,0,0,0,7+,0,0,Puzzle,0,1, 6.02 ,4.3
1,1,0,0,0,everyone,0,0,Board,0,1, 0.15 ,4.3
0,1,0,0,0,everyone,0,0,Puzzle,0,1, 3.68 ,4.3
1,1,0,0,0,16+,0,0,Adventure,0,1, 0.06 ,3.2
1,1,0,0,0,everyone,0,0,Board,0,1, 1.79 ,4.5
1,1,0,0,0,everyone,0,0,Simulation,0,0, 0.06 ,3.6
1,1,0,0,0,everyone,0,0,Racing,0,1, 5.06 ,4.2
1,0,0,0,0,12+,0,0,Adventure,1,1, 3.90 ,4.2
0,1,0,0,0,12+,0,0,Casino,0,0, 1.96 ,3.9
1,0,0,0,0,everyone,0,1,Puzzle,0,1, 0.22 ,4.8
1,1,0,0,0,everyone,0,0,Puzzle,0,0, 0.60 ,4.2
1,1,0,0,0,everyone,0,0,Sports,0,1, 1.40 ,4.2
1,1,0,0,0,everyone,0,0,Casual,1,1, 20.17 ,4.3
1,1,1,1,0,everyone,0,0,Educational,0,0, 0.05 ,3.8
1,1,0,0,0,everyone,0,0,Educational,0,1, 1.19 ,4.1
0,1,0,0,0,everyone,0,0,Trivia,0,1, 0.04 ,4.4
0,1,0,0,1,everyone,0,0,Strategy,0,0, 0.32 ,3.1
1,1,0,0,0,everyone,0,0,Arcade,0,0, 2.01 ,4.4
0,1,0,0,0,everyone,0,0,Educational,0,1, 0.37 ,4.3
0,1,0,0,0,everyone,0,0,Trivia,0,1, 0.32 ,4.2
1,1,0,0,0,everyone,0,0,Adventure,0,1, 1.40 ,4.4
1,1,0,0,0,everyone,0,0,Puzzle,0,1, 1.10 ,4.2
1,1,0,0,0,everyone,0,0,Strategy,0,1, 0.17 ,4
1,0,0,0,1,everyone,0,0,Casual,0,1, 0.37 ,4.4
1,1,0,0,0,everyone,0,0,Puzzle,1,1, 8.29 ,4.5
0,1,0,0,0,everyone,0,0,Card,0,0, 0.72 ,4.6
1,1,0,0,0,everyone,0,0,Puzzle,0,1, 0.47 ,3.9
0,1,0,0,0,everyone,0,0,Puzzle,0,0, 0.02 ,4.2
1,1,0,0,0,12+,0,0,Casual,0,0, 9.00 ,4.3
1,1,0,0,0,everyone,0,0,Puzzle,0,1, 0.25 ,4.2
1,0,0,0,0,everyone,0,0,Strategy,0,1, 0.80 ,4
1,1,0,0,1,everyone,0,0,Simulation,0,1, 0.49 ,4.2
0,0,0,0,1,everyone,0,0,Educational,0,0, 0.83 ,3.6
1,1,0,0,0,7+,0,0,Puzzle,0,0, 0.02 ,4.2
1,0,0,0,0,everyone,0,0,Puzzle,0,0, 0.02 ,4.4
1,1,0,0,0,everyone,0,0,Puzzle,0,1, 0.43 ,4.5
1,1,0,0,1,everyone,0,0,Casual,1,1, 6.73 ,4.4
1,1,0,0,0,everyone,0,0,Arcade,1,1, 12.88 ,4.3
1,1,0,0,0,everyone,0,0,Arcade,0,0, 15.88 ,3.7
1,1,0,0,1,everyone,0,0,Simulation,0,1, 0.68 ,3.9
1,1,0,0,1,everyone,0,0,Racing,0,1, 0.34 ,4.3
1,0,1,0,0,12+,0,0,Role Playing,1,1, 3.18 ,4.1
1,1,0,0,1,everyone,0,0,Card,0,1, 0.10 ,4.3
1,1,0,0,0,everyone,0,0,Word,0,0, 0.27 ,4.4
1,1,0,0,1,16+,0,0,Action,1,1, 7.37 ,4.1
1,1,0,1,1,7+,0,0,Action,0,1, 6.94 ,4
1,1,0,0,0,everyone,0,0,Simulation,0,1, 1.96 ,4.4
1,1,0,0,1,everyone,0,0,Trivia,0,1, 1.38 ,3.9
1,1,0,0,1,everyone,0,0,Trivia,0,1, 6.04 ,4.2
0,1,0,0,0,everyone,0,0,Trivia,0,1, 0.05 ,4.3
1,1,0,0,1,everyone,0,0,Racing,0,1, 7.76 ,4.1
1,1,0,1,1,16+,0,0,Music,0,1, 0.60 ,3.9
1,1,0,0,1,7+,0,0,Strategy,0,0, 0.22 ,4.3
1,1,0,1,0,7+,0,0,Racing,1,1, 7.89 ,4.3
1,1,0,0,1,everyone,0,0,Board,0,1, 0.69 ,4.3
1,1,0,0,0,18+,0,0,Action,0,1, 22.75 ,4.4
1,1,0,0,1,everyone,0,0,Arcade,0,1, 0.94 ,4.3
1,1,0,0,1,12+,0,0,Sports,0,1, 1.85 ,4.4
1,1,0,0,1,12+,0,0,Sports,0,1, 0.45 ,4.1
1,1,0,0,1,12+,0,0,Role Playing,0,1, 3.41 ,3.8
1,1,1,1,0,everyone,0,0,Racing,0,1, 2.39 ,4.2
1,1,0,0,1,everyone,0,0,Sports,0,0, 1.88 ,4.3
1,1,0,0,0,everyone,0,0,Racing,0,1, 3.14 ,4.1
1,1,0,0,0,everyone,0,0,Arcade,0,1, 1.92 ,3.7
1,1,0,0,0,everyone,0,0,Action,1,1, 1.52 ,4.2
1,0,0,1,0,everyone,0,0,Board,0,0, 0.03 ,3.8
1,1,0,0,0,everyone,0,0,Racing,0,1, 0.96 ,4.4
1,1,0,0,1,12+,0,0,Action,0,1, 5.69 ,4.1
1,1,0,0,1,everyone,0,0,Puzzle,0,1, 0.04 ,4.3
1,1,0,0,0,everyone,0,0,Arcade,0,1, 2.01 ,4.2
1,1,0,0,0,7+,0,0,Puzzle,0,1, 3.03 ,4.3
1,1,0,0,0,everyone,0,0,Arcade,0,1, 4.86 ,4.3
1,1,0,0,0,everyone,0,0,Puzzle,0,1, 0.45 ,4.2
1,1,0,0,1,12+,0,0,Simulation,0,0, 5.49 ,4.2
1,1,0,0,0,everyone,0,0,Arcade,0,0, 7.79 ,4.6
1,1,0,0,0,everyone,0,0,Role Playing,1,1, 7.19 ,4.2
1,1,0,0,0,everyone,0,0,Racing,0,1, 6.09 ,4.2
0,1,0,0,0,everyone,0,0,Puzzle,0,0, 0.70 ,4.6
1,1,0,0,0,everyone,0,0,Puzzle,0,1, 5.15 ,4.4
0,1,0,0,0,everyone,0,0,Sports,0,1, 0.28 ,4.4
1,1,0,0,0,12+,0,0,Sports,0,1, 7.11 ,4.4
1,1,0,0,0,7+,0,0,Board,0,1, 0.74 ,4.3
1,1,0,0,0,everyone,0,0,Puzzle,0,1, 0.35 ,4.5
1,0,0,0,0,everyone,0,1,Simulation,0,1, 0.04 ,4.3
1,1,0,0,0,everyone,0,0,Puzzle,0,1, 2.28 ,4.2
1,1,0,0,0,everyone,0,0,Puzzle,0,0, 0.20 ,3.9
1,1,0,0,0,everyone,0,0,Racing,0,1, 4.98 ,4.3
1,1,0,0,0,12+,0,0,Action,0,0, 1.18 ,3.9
1,1,0,0,0,7+,0,0,Racing,0,1, 0.45 ,4.2
1,1,0,0,0,7+,0,0,Word,0,0, 6.43 ,3.7
1,1,0,0,0,everyone,0,0,Puzzle,0,0, 1.10 ,4.5
1,0,0,0,0,everyone,0,0,Puzzle,0,1, 6.16 ,4.6
1,1,0,0,0,everyone,0,0,Puzzle,0,1, 1.08 ,3.5
0,1,0,0,0,everyone,0,0,Board,0,0, 0.10 ,4.6
1,1,0,0,0,everyone,0,0,Puzzle,0,0, 0.22 ,4.5
1,1,0,0,1,everyone,0,0,Casual,0,1, 1.58 ,4.7
1,1,0,0,0,everyone,0,0,Trivia,0,0, 0.18 ,3.9
1,1,0,0,1,everyone,0,0,Puzzle,0,1, 0.09 ,4.6
1,1,0,0,0,everyone,0,0,Simulation,0,1, 0.22 ,3.7
1,1,0,0,0,everyone,0,0,Simulation,0,1, 0.80 ,4
1,1,1,0,1,everyone,0,0,Simulation,0,1, 0.67 ,4.1
0,1,0,0,0,everyone,0,0,Adventure,0,1, 1.55 ,4
1,1,0,0,0,everyone,0,0,Simulation,0,1, 3.64 ,4
1,1,0,0,0,everyone,0,0,Simulation,0,1, 1.11 ,4.1
0,1,0,0,0,7+,0,0,Action,0,0, 0.03 ,3.5
1,1,0,0,0,everyone,0,0,Racing,0,1, 16.78 ,4.2
1,1,0,0,0,everyone,0,0,Simulation,0,1, 0.74 ,4.3
1,1,0,0,0,12+,0,0,Simulation,0,0, 0.18 ,3.9
1,1,0,0,0,everyone,0,0,Simulation,0,1, 0.56 ,4.1
1,1,0,0,0,everyone,0,0,Puzzle,0,1, 4.39 ,4.2
1,1,0,0,0,everyone,0,0,Puzzle,0,1, 5.54 ,4.5
1,1,0,0,0,7+,0,0,Simulation,0,0, 0.48 ,3.1
1,1,0,0,0,everyone,0,0,Simulation,0,1, 0.86 ,3.9
1,1,0,0,1,12+,0,0,Action,0,1, 1.48 ,4.2
1,1,0,0,0,12+,0,0,Action,0,1, 0.30 ,3.6
0,1,0,0,0,everyone,0,0,Simulation,0,1, 0.03 ,3.4
0,1,0,0,0,everyone,0,0,Simulation,0,1, 2.20 ,4.1
1,0,0,0,0,everyone,0,0,Simulation,0,1, 2.81 ,4.2
1,1,0,0,0,7+,0,0,Simulation,0,1, 0.39 ,4
0,1,0,0,0,7+,0,0,Simulation,0,0, 0.03 ,3
1,1,0,0,0,everyone,0,0,Simulation,0,1, 1.70 ,4
0,1,0,0,0,everyone,0,0,Action,0,1, 1.65 ,4.3
1,1,0,0,0,7+,0,0,Action,0,1, 0.24 ,3.9
0,0,0,0,0,everyone,0,0,Simulation,0,0, 0.09 ,4.1
0,1,0,0,0,12+,0,0,Arcade,0,1, 0.66 ,4.2
0,1,0,0,0,everyone,0,0,Simulation,0,0, 0.17 ,3.2
0,1,0,1,0,16+,0,0,Simulation,0,0, 0.21 ,3
1,1,0,0,0,16+,0,0,Action,0,1, 0.18 ,4
1,1,0,0,1,7+,0,0,Action,0,0, 1.03 ,4.2
1,1,0,0,1,everyone,0,0,Casual,0,1, 2.87 ,4.4
0,1,0,0,0,everyone,0,0,Simulation,0,0, 0.98 ,4.5
1,1,0,0,0,everyone,0,0,Simulation,0,1, 5.35 ,4.1
1,1,0,0,0,everyone,0,0,Simulation,0,1, 0.31 ,3.2
1,1,0,0,0,everyone,0,0,Simulation,0,1, 2.38 ,4.2
1,1,0,0,0,everyone,0,0,Travel & Local,0,0, 0.10 ,3.6
1,1,0,0,0,everyone,0,0,Simulation,0,1, 1.15 ,3.9
1,1,0,0,0,everyone,0,0,Simulation,0,1, 0.99 ,3.8
0,1,0,0,0,7+,0,0,Simulation,0,1, 0.07 ,3.8
1,1,0,1,1,12+,0,0,Arcade,0,1, 12.10 ,4.2
1,1,0,0,0,everyone,0,0,Puzzle,0,1, 12.63 ,4.2
1,1,0,0,1,everyone,0,0,Strategy,0,1, 1.43 ,4.1
1,1,0,0,0,everyone,0,0,Role Playing,0,0, 1.84 ,4.1
1,1,0,0,0,everyone,0,0,Simulation,0,1, 1.69 ,4.3
1,1,0,0,0,everyone,0,0,Simulation,0,0, 0.51 ,3.9
1,1,0,0,0,everyone,0,0,Arcade,0,1, 1.04 ,4.2
1,1,0,0,0,everyone,0,0,Simulation,0,0, 0.08 ,3.7
0,1,0,0,0,everyone,0,0,Card,0,1, 0.67 ,4.8
1,1,0,0,0,everyone,0,0,Casual,0,1, 0.24 ,4.4
1,1,0,0,0,everyone,0,0,Arcade,0,1, 2.72 ,4
1,0,0,0,1,7+,0,0,Adventure,1,1, 1.31 ,4.3
1,1,0,0,0,everyone,0,0,Racing,0,1, 5.78 ,4.2
0,1,0,0,0,everyone,0,0,Arcade,0,0, 0.37 ,4.2
1,1,0,0,1,7+,0,0,Sports,0,0, 0.13 ,4.2
1,1,0,0,1,12+,0,0,Action,1,1, 5.00 ,4
0,1,0,0,0,everyone,0,0,Trivia,0,1, 2.35 ,4.2
1,1,0,0,0,everyone,0,0,Puzzle,0,1, 2.12 ,4.3
1,1,0,0,0,everyone,0,0,Arcade,0,0, 3.19 ,4
1,1,0,0,1,everyone,0,0,Racing,0,1, 12.96 ,4.4
1,1,0,0,0,everyone,0,0,Action,0,1, 7.59 ,4.5
1,1,0,0,0,everyone,0,0,Puzzle,0,1, 0.27 ,4.2
1,1,0,0,0,everyone,0,0,Arcade,0,1, 3.44 ,4.1
1,1,0,0,0,everyone,0,0,Puzzle,0,1, 0.54 ,4.7
1,0,1,0,1,everyone,0,0,Casual,0,1, 5.98 ,4.6
1,1,0,0,0,everyone,0,0,Arcade,0,0, 0.42 ,4.5
1,1,0,0,0,everyone,0,0,Arcade,0,1, 9.14 ,4.3
1,1,0,0,0,7+,0,0,Action,0,1, 2.51 ,4.3
1,0,0,0,1,7+,0,1,Arcade,1,0, 1.22 ,4.5
1,1,0,0,1,7+,0,0,Strategy,0,0, 0.47 ,4.5
1,1,0,0,0,12+,0,0,Role Playing,1,1, 8.07 ,4.1
1,1,0,0,1,12+,0,0,Role Playing,1,1, 0.55 ,4.5
1,0,0,0,1,7+,0,0,Role Playing,0,1, 0.41 ,4.4
1,1,0,0,0,7+,0,0,Action,1,1, 2.67 ,4.6
1,1,0,0,0,everyone,0,0,Board,0,1, 4.02 ,4.3
1,1,0,0,0,everyone,0,0,Sports,0,1, 0.44 ,4.4
1,1,0,0,0,everyone,0,0,Arcade,0,1, 0.82 ,4.1
0,1,0,0,0,everyone,0,0,Arcade,0,1, 0.34 ,3.9
1,1,0,0,0,everyone,0,0,Racing,0,1, 3.21 ,4.3
1,1,0,0,0,everyone,0,0,Arcade,0,1, 0.33 ,3.9
1,0,0,0,1,everyone,0,1,Word,0,1, 0.02 ,4.7
1,1,0,0,0,everyone,0,0,Simulation,0,1, 0.12 ,4
1,1,0,0,0,everyone,0,0,Puzzle,0,1, 0.51 ,4.6
1,1,0,0,0,everyone,0,0,Casual,0,0, 0.10 ,4.2
1,1,0,0,0,everyone,0,0,Word,0,0, 0.14 ,4.3
1,1,0,0,0,everyone,0,0,Action,0,1, 4.43 ,4
1,1,0,0,0,12+,0,0,Puzzle,0,1, 12.91 ,4.1
1,1,0,0,0,12+,0,0,Simulation,1,1, 2.80 ,4.4
1,1,0,0,0,everyone,0,0,Puzzle,0,0, 0.30 ,4.1
0,0,0,0,0,everyone,0,1,Puzzle,0,1, 0.06 ,4.3
1,1,0,0,0,everyone,0,0,Simulation,0,1, 2.63 ,3.7
0,1,0,0,0,everyone,0,0,Casual,0,1, 0.53 ,4.3
1,1,0,0,1,everyone,0,0,Trivia,0,1, 3.42 ,4.1
1,1,0,0,0,everyone,0,0,Strategy,0,1, 2.48 ,4.5
1,1,0,0,0,everyone,0,0,Casual,1,1, 4.45 ,4.3
0,1,0,0,0,everyone,0,0,Casual,0,1, 0.91 ,4
0,1,0,0,0,everyone,0,1,Puzzle,0,0, 0.07 ,3.9
1,1,0,0,0,everyone,0,0,Puzzle,0,1, 0.85 ,3.8
1,1,0,0,0,everyone,0,0,Arcade,0,1, 0.37 ,4.3
1,1,0,0,0,everyone,0,0,Simulation,0,0, 0.56 ,3.9
0,1,0,0,0,everyone,0,0,Arcade,0,1, 9.99 ,4.2
1,1,0,0,0,everyone,0,0,Card,0,1, 0.06 ,4.5
1,1,0,0,0,everyone,0,0,Action,0,1, 2.66 ,3.8
1,0,0,0,0,16+,0,0,Casual,0,0, 0.03 ,4.2
1,1,0,0,0,everyone,0,0,Puzzle,0,1, 0.45 ,4.4
0,1,0,0,0,12+,0,0,Board,0,1, 0.18 ,4.4
1,1,0,0,0,everyone,0,0,Board,0,1, 0.71 ,4.6
0,1,0,0,0,everyone,0,0,Casual,0,0, 1.59 ,4.4
1,0,0,0,0,everyone,0,0,Arcade,0,1, 0.67 ,4.1
1,1,0,0,0,everyone,0,0,Puzzle,0,1, 1.64 ,4.4
1,1,0,0,0,everyone,0,0,Arcade,0,1, 2.31 ,4
1,0,0,0,1,everyone,0,0,Strategy,0,1, 0.59 ,4.3
1,1,0,0,1,everyone,0,0,Casual,0,1, 1.29 ,4.2
1,1,0,0,0,12+,0,0,Arcade,0,1, 2.17 ,3.8
1,1,0,0,0,everyone,0,0,Card,0,1, 0.08 ,4.2
1,1,0,0,0,everyone,0,0,Card,0,1, 0.53 ,4.4
1,1,0,0,0,everyone,0,0,Word,0,1, 0.58 ,4.2
1,1,0,0,0,everyone,0,0,Puzzle,0,0, 0.01 ,4.6
0,1,0,0,0,everyone,0,0,Puzzle,0,1, 1.29 ,4.5
1,0,0,0,0,everyone,0,0,Word,0,1, 0.74 ,3.6
1,1,0,0,1,16+,0,0,Strategy,0,0, 0.09 ,3
1,1,0,0,0,12+,0,0,Word,0,1, 0.04 ,4.5
1,1,0,0,0,everyone,0,0,Puzzle,1,1, 4.56 ,4.6
1,1,0,0,0,everyone,0,0,Simulation,0,1, 0.06 ,4.1
1,1,1,0,1,12+,0,0,Card,1,1, 4.38 ,4.4
1,1,0,0,0,everyone,0,0,Action,0,0, 1.04 ,3.7
1,1,0,0,1,12+,0,0,Card,1,0, 0.24 ,4.1
1,0,1,0,1,12+,0,0,Action,1,0, 0.72 ,4.2
1,1,0,0,0,everyone,0,0,Arcade,0,1, 3.16 ,4.3
1,0,0,0,1,everyone,0,0,Strategy,1,1, 3.60 ,4.3
1,1,0,0,0,everyone,0,0,Sports,0,0, 0.27 ,4.4
1,1,0,0,1,12+,0,0,Action,1,1, 2.78 ,4.6
1,0,0,1,1,everyone,0,0,Adventure,0,1, 0.53 ,3.1
1,0,0,0,1,everyone,0,0,Adventure,0,1, 0.15 ,3.6
