purchases,ads,sharesinfo,shareslocation,usersinteract,age_rating,Parentalguidance,paidapp,Category2,Editors Choice,CompanyIsExperienced,Install per Avg,Rating3,install_scaled,rating_scaled,predictor
1,1,0,0,0,everyone,0,0,Puzzle,0,0,0.8,4.4,-0.076406426,0.664799597,-0.050794961
1,1,0,0,0,everyone,0,0,Board,0,1,1.12,4.3,0.045848932,0.390975656,0.017925816
1,1,0,0,0,everyone,0,0,Puzzle,0,1,0.08,4.2,-0.351480981,0.117151715,-0.041176599
1,1,0,0,0,12+,0,0,Arcade,0,1,7.93,4.1,2.647595762,-0.156672227,-0.414804724
1,1,0,0,0,everyone,0,0,Puzzle,0,0,1.2,4,0.076412771,-0.430496168,-0.032895405
1,1,0,0,0,everyone,0,0,Card,0,1,2.38,4.2,0.527229402,0.117151715,0.061765828
1,1,0,0,0,12+,0,0,Casino,0,1,3.49,4.5,0.951302674,0.938623539,0.892915083
1,1,0,1,1,everyone,0,0,Simulation,1,1,3.18,4.2,0.832867797,0.117151715,0.09757189
0,1,0,0,0,12+,0,0,Board,0,1,0.09,4.4,-0.347660501,0.664799597,-0.231124561
1,1,0,0,0,everyone,0,0,Arcade,0,1,0.02,3.8,-0.37440386,-0.978144051,0.366220909
1,1,0,0,0,everyone,0,0,Board,0,1,0.08,4.6,-0.351480981,1.21244748,-0.426152229
0,1,0,0,0,7+,0,0,Casual,0,0,6.79,4.3,2.21206105,0.390975656,0.86486202
1,1,0,0,0,everyone,0,0,Board,0,1,0.89,4.6,-0.042022107,1.21244748,-0.050949597
0,1,0,0,0,everyone,0,0,Puzzle,0,1,0.13,3.3,-0.332378581,-2.347263758,0.780180197
1,1,0,0,0,18+,0,0,Action,0,1,0.06,4.6,-0.35912194,1.21244748,-0.435416492
1,1,0,0,0,everyone,0,0,Arcade,0,1,4.82,3.9,1.459426504,-0.70432011,-1.027903436
1,0,1,0,1,everyone,0,0,Casual,0,1,29.21,4.6,10.77757704,1.21244748,13.06724613
1,0,0,0,1,everyone,0,0,Trivia,0,0,0.51,3.3,-0.187200344,-2.347263758,0.439408582
1,1,0,0,0,everyone,0,0,Puzzle,0,1,5.39,4,1.67719386,-0.430496168,-0.72202553
1,1,0,0,0,everyone,0,0,Board,0,0,0.6,4.6,-0.152816024,1.21244748,-0.185281404
1,1,0,0,0,everyone,0,0,Puzzle,0,1,4.73,4.2,1.425042185,0.117151715,0.166946135
0,1,0,0,0,everyone,0,0,Trivia,0,0,0.21,4.2,-0.301814742,0.117151715,-0.035358114
0,1,0,0,0,everyone,0,0,Puzzle,0,0,1.13,4.5,0.049669412,0.938623539,0.046620879
0,1,0,0,0,everyone,0,0,Puzzle,0,1,3.69,4.5,1.027712273,0.938623539,0.96463493
1,1,0,0,0,everyone,0,0,Card,0,1,0.26,4.5,-0.282712342,0.938623539,-0.265360459
0,1,0,0,0,everyone,0,0,Trivia,0,1,0.03,4.4,-0.37058338,0.664799597,-0.246363682
1,1,0,0,0,everyone,0,0,Educational,0,1,0.08,4.2,-0.351480981,0.117151715,-0.041176599
1,1,0,0,0,12+,0,0,Role Playing,0,1,4.12,3.7,1.19199291,-1.251967993,-1.49233697
0,1,0,0,0,everyone,0,0,Puzzle,0,0,0.3,4.2,-0.267430422,0.117151715,-0.031329932
1,1,0,0,0,everyone,0,0,Trivia,0,0,0.26,4.5,-0.282712342,0.938623539,-0.265360459
1,1,0,0,0,everyone,0,0,Action,0,1,7.94,4,2.651416242,-0.430496168,-1.141424533
1,1,0,0,0,everyone,0,0,Racing,0,1,8.87,4.1,3.006720875,-0.156672227,-0.471069655
1,1,0,0,0,everyone,0,0,Puzzle,1,1,5.67,4.6,1.784167298,1.21244748,2.163209145
