Release_Year,Maximum Installs,Counter,Average_Downloads
2010,1176046612,42,28001109.80952381
2011,3054603914,114,26794771.175438598
2012,9535835285,251,37991375.637450196
2013,13064386565,362,36089465.64917127
2014,11511702494,573,20090231.228621293
2015,11514870092,716,16082220.798882682
2016,16168517166,1013,15961023.855873642
2017,15470589630,1337,11571121.637995513
2018,14244825242,1195,11920355.851046026
2019,5685103561,418,13600726.222488038
2020,4988786,3,1662928.6666666667
